brandName,os,osVersion,screenSizeInInches,displayType,resolutionInPixels,pixelDensity,rearCamera,frontCamera,batteryCapacity,fastCharging,cpuSpeed,processorCores,ramCapacity,gpuType,weight,internalStorage,externalStorage,yearOfRelease,price
VIVO,Android,9,6.53,NA,1080 x 2340,NA,16 + 8 + 2,16,5000,Yes,NA,Octa-core,4 GB,Adreno 612,193,64 GB,NA,2019,11749
Vivo,Android,9,6.35,IPS,720 X 1544,268,8 + 13 + 2,8,5000,NA,2 GHz,octa,4GB,PowerVR GE8320,190.5,64 GB,256GB,2019,10990
Vivo,Android,9,6.35,IPS,720 X 1544,268,8 + 13 + 2,8,5000,NA,2 GHz,octa,3GB,PowerVR GE8320,190.5,32GB,256GB,2019,12490
Vivo,Android,9,6.44,IPS,1080 x 2440,NA,48 + 8 + 2 + 13,32 + 8,4100,Yes,2 GHz,Octa,8 GB,Adreno 612,202,128 GB,256 GB,2019,27989
Realme,Android,9,6.50,NA,720x1600,NA,48 + 8 + 2 + 2,13,5000,NA,2 GHz,octa,4 GB,NA,198,64GB,NA,2019,9999
Realme,Android,9,6.50,NA,720x1600,NA,48 + 8 + 2 + 2,13,5000,NA,2 GHz,octa,4 GB,NA,198,128 GB,NA,2019,11999
Oppo,Android,9,6.40,NA,1080 x 2400,408,48 + 8 + 2 + 2,16,4000,NA,NA,Octa-core,8 GB,Mali-G72 MP3,172,128 GB,NA,2020,18990
Samsung,Android,9,6.4,FHD Plus,1080 x 2400,411,48 + 8 + 5,16,6000,Yes,2.3 GHz,octa,4 GB,Mali-G72 MP3,NA,64GB,512GB,2019,14082
Samsung,Android,9,6.4,FHD Plus,1080 x 2400,411,48 + 8 + 5,16,6000,Yes,2.3 GHz,octa,6 GB,Mali-G72 MP3,NA,128GB,512GB,2019,16999
REALME,Android,10,6.52,NA,720 x 1600,270,12 + 2 + 2,5,5000,Yes,"2x2.0 GHz, 6x1.7 GHz",Octa-core,3 GB,Mali-G52 2EEMC2,195,32 GB,NA,2020,8499
Apple,iOS,13,5.8,OLED,1125 X 2436,458,12 + 12  + 12,12,3190,Yes,"2x2.65 GHz, 4x1.8 GHz",Hexa-core,4 GB,4-core graphics,188,64 GB,NA,2019,96990
Apple,iOS,13,5.8,OLED,1125 X 2436,458,12 + 12  + 12,12,3190,Yes,NA,NA,6GB,NA,188,256GB,NA,2019,114299
Apple,iOS,13,5.8,OLED,1125 X 2436,458,12 + 12  + 12,12,3190,Yes,NA,NA,6GB,NA,188,512GB,NA,2019,140300
Samsung,Android,10,6.7,Dynamic AMOLED,1440 x 3040,524,108 + 48 + 12,10,5000,NA,NA,NA,12 GB,NA,NA,128 GB,NA,2020,97999
Poco,Android,10,6.67,Full HD,1080 x 2400,395,48 + 8 + 5 + 2,16,5000,Yes,2.3 GHz,Octa-core,4 GB,Adreno 618,209,64 GB,NA,2020,13999
Motorola,Android,10,6.50,NA,1080 x 2340,NA,64 + 8 + 5 + 2,16,5000,Yes,"2x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,210,128 GB,NA,2020,17499
Vivo,Android,10,6.44,NA,1080 x 2400,409,48 + 8 + 2 + 2,32,4500,Yes,"2x2.0 GHz, 6x1.7 GHz",Octa-core,8 GB,Adreno 612,176,128 GB,NA,2020,24990
Redmi,Android,9,6.39,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,NA,octa,4 GB,Adreno 610,190,64GB,256 GB,2019,12499
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,2019,14999
Redmi,Android,9,6.3,IPS,1080 X 2340,409,48 + 8 + 2 + 2,13,4000,Yes,2 GHz,octa,6 GB,Adreno 610,190,128GB,256 GB,2019,14999
Samsung,Android,10,6.4,NA,1080 x 2340,411,68 + 8 + 5 +5,32,6000,NA,"4x2.3 GHz, 4x1.7 GHz",octa,6 GB,Mali-G72 MP3,NA,64 GB,NA,2020,16499
Samsung,Android,10,6.4,NA,1080 x 2340,411,64 + 8 + 5 + 5,32,6000,NA,"4x2.3 GHz, 4x1.7 GHz",octa,6 GB,Mali-G72 MP3,NA,128GB,NA,2020,17499
Realme,Android,9,6.5,IPS,720 x 1600,270,12 + 8 + 2 + 2,13,5000,Yes,2 GHz,Octa,4 GB,Adreno 610,198,64GB,256 GB,2019,11999
Realme,Android,9,6.5,IPS,720 x 1600,270,12 + 8 + 2 + 2,13,5000,Yes,2 GHz,Octa,3 GB,Adreno 610,198,32GB,256 GB,2019,10999
Realme,Android,9,6.5,IPS,720 x 1600,270,12 + 8 + 2 + 2,13,5000,Yes,2 GHz,Octa,4 GB,Adreno 610,198,128GB,256 GB,2019,11999
Vivo,Android,8.1,6.3,IPS LCD,1080 x 2280,400,16 + 5 MP,24,3260,NA,2.2 GHz,Octa,4 GB,Adreno 506,150,64 GB,256 GB,2018,17800
Vivo,Android,8.1,6.3,IPS LCD,1080 x 2280,400,16 + 5 MP,24,3260,NA,2.2 GHz,Octa,6GB,Adreno 506,150,128GB,256 GB,2018,22900
Realme,Android,10,6.5,NA,1080 x 2400,NA,64 + 8 + 2 + 2,16,4300,NA,"2x2.05 GHz, 6x2.0 GHz",Octa-core,4 GB,Mali-G76 MC4,191,64 GB,NA,2020,17999
Realme,Android,10,6.5,NA,1080 x 2400,405,64 + 8 + 2 + 2,16,4300,NA,"2x2.05 GHz, 6x2.0 GHz",Octa-core,6 GB,Mali-G76 MC4,191,128 GB,NA,2020,16999
Infinix,Android,10,6.6,NA,720 x 1600,266,48 + 2 + 2 + QVGA,8,5000,NA,2.0 GHz,Octa-core,4 GB,PowerVR GE8320,185,64 GB,NA,2020,10499
